index|quem|o_que|quando|onde|por_que|como
413|vítimas de fraudes bancárias (clientes de bancos e donos de contas laranjas)|venda de kits criminosos com contas bancárias laranjas e cartões clonados, prejuízos financeiros||plataformas online e grupos fechados|vulnerabilidade de sistemas bancários e exploração de dados vazados|comercialização de contas laranjas, cartões clonados e tutoriais para golpes
414|vítimas de fraudes financeiras (clientes de bancos e plataformas digitais)|fraudes com cartões clonados, golpes em plataformas de pagamentos e apostas esportivas||plataformas digitais e máquinas de clonagem de cartões|exploração de vulnerabilidades em sistemas financeiros e uso de tecnologia criminosa|operação organizada com estrutura tecnológica para clonagem e falsificação de dados bancários
415||||||
416|consumidores vítimas de anúncios fraudulentos|anúncios falsos oferecendo empréstimos, indenizações e outros golpes financeiros||redes sociais e aplicativos de mensagem|falta de regulação eficiente e fiscalização de conteúdos|publicação de anúncios enganosos que direcionam para golpes via mensagens
417|usuários da conta gov.br (vítimas de fraudes)|fraudes envolvendo invasão de contas gov.br para empréstimos ilegais e roubo de dados||plataforma gov.br e aplicativo móvel|falhas na autenticação biométrica e falta de verificação em duas etapas|invasão de contas para obter dados pessoais e realizar transações financeiras ilegais
418|comerciantes e estabelecimentos comerciais de Santo Antônio de Jesus|golpes do PIX falso para adquirir produtos sem pagamento real||compras presenciais em lojas e supermercados|apresentação de comprovantes de pagamento falsos|uso de comprovantes fraudulentos do PIX para enganar estabelecimentos
419||||||
420|idosos e jovens (principais vítimas)|golpes do WhatsApp, falsas vendas e falsos funcionários de banco, prejuízo de R$10,1 bilhões||WhatsApp, sites falsos e ligações telefônicas|engenharia social e vazamentos de dados|clonagem de contas, criação de páginas falsas e falsos atendimentos bancários
421|vítimas de portabilidade telefônica fraudulenta (incluindo autoridades públicas)|golpe da portabilidade telefônica para transferir linhas indevidamente||sistemas internos de operadoras de telefonia|uso indevido de credenciais de acesso e falhas nos controles de segurança|grupo se passava por funcionários para realizar portabilidades ilegais usando chips pré-pagos
422|comerciantes e clientes de Feira de Santana|golpes em compras não pagas (joias e serviços de design), prejuízos de até R$40 mil||lojas físicas e redes sociais|uso de influência digital para ganhar confiança|compra de produtos e serviços sem intenção de pagamento, usando falsas promessas
423|clientes do banco digital (vítimas de clonagem)|fraudes com cartões clonados, prejuízo de R$300 mil||banco digital e deep web|vulnerabilidade no sistema de segurança bancária|clonagem de cartões e transferências indevidas para contas de conhecidos
424|vítimas de golpes digitais (pessoas físicas e empresas)|golpes digitais variados (falsas ligações bancárias, SMS falsos, clonagem de dados), prejuízo de até R$200 mil/semana||centrais de golpes, contas de terceiros (conteiros)|exploração de vulnerabilidades em sistemas e engenharia social|uso de múltiplas estratégias de fraude e pulverização de valores em contas laranjas
425||||||
426|vítimas de golpes digitais na região de Ribeirão|golpes usando inteligência artificial (falsas ligações bancárias, SMS e WhatsApp falsos), prejuízo de até R$200 mil/semana||centrais de golpes com equipamentos eletrônicos e contas de terceiros|uso de tecnologia avançada para engenharia social|aplicação de fraudes com robôs de IA e pulverização em contas laranjas
427|Débora Amorim (cantora e influenciadora digital)|agressão física com corte de cabelo à força e danos ao veículo||frente da residência da vítima em Blumenau|possível motivação pessoal ou perseguição|ataque por dupla em motocicleta usando instrumento cortante
428|idosos (como a vítima de 65 anos)|golpe do vale-gás com roubo de dados para empréstimos consignados, prejuízo de R$25 mil||abordagem domiciliar e bancos digitais|vulnerabilidade de idosos e falta de verificação bancária|coleta fraudulenta de dados pessoais e biométricos para abertura de contas
429|idosos acima de 60 anos no Distrito Federal|curso de prevenção a golpes digitais (educação midiática e segurança online)||Universidade de Brasília (UnB) e Instituto Federal de Brasília (IFB)|vulnerabilidade de idosos a fraudes digitais|aulas presenciais com foco em uso seguro de tecnologia
430|cooperados de cooperativas de crédito no Brasil|campanha educativa contra fraudes financeiras (#CliqueConsciente)||cooperativas de crédito e plataformas digitais|aumento de golpes e fraudes financeiras (1 milhão de tentativas em 2024)|campanha com três etapas: prevenção, detecção e ação contra fraudes
431|vítimas de golpes digitais (compradores online)|estelionato digital em sites de compra/venda (3.611 casos em 2022)||plataformas de compra online e contas bancárias laranjas|falta de verificação e ofertas muito vantajosas|transferências fraudulentas via PIX para contas de terceiros
432|50 vítimas em São Paulo|golpes digitais (falso e-commerce e golpe do WhatsApp), prejuízo de R$1 milhão||sites falsos e aplicativo WhatsApp|anúncios fraudulentos e engenharia social|uso de contas laranjas e empresas fantasmas para lavagem de dinheiro
433|consumidores e usuários de serviços digitais|fraudes digitais (faturas falsas, QR Codes adulterados e golpes do PIX)||e-mails, aplicativos de mensagens, QR Codes em estabelecimentos e transações PIX|engenharia social e falta de verificação por parte das vítimas|envio de documentos falsos, adulteração de QR Codes e mensagens fraudulentas para induzir pagamentos
434|consumidores durante o período de festas de fim de ano|golpes digitais (promoções falsas, clonagem de contas e fraudes em aplicativos)||redes sociais, sites de compras e aplicativos de mensagens|aumento de movimentações financeiras no fim de ano|anúncios fraudulentos e solicitação de códigos de confirmação
435|25% da população do Rio Grande do Norte|clonagem de cartão, fraude na internet e invasão de contas bancárias||Nordeste brasileiro (com destaque para RN)|vulnerabilidades em sistemas e falta de conscientização digital|roubo de dados financeiros e uso indevido de contas bancárias
436|vítimas de golpes de falso investimento (RS, SP e SE)|golpe do falso investimento e lavagem de dinheiro via criptomoedas, prejuízos de R$40 mil a R$400 mil||redes sociais e contas bancárias de empresas de fachada|promoção de jogos ilegais e engenharia social|transferências fraudulentas e conversão em bens de luxo e criptomoedas
437|participantes de rifas virtuais|rifas virtuais ilegais e lavagem de dinheiro, desvio de recursos de filantropia||redes sociais e contas bancárias|promoção de sorteios não autorizados|arrecadação fraudulenta e desvio de valores para contas pessoais
438|líder de quadrilha especializada em golpes digitais|fraude bancária de R$1,5 milhão em Campo Grande||banco de Campo Grande e atuação em múltiplos estados|vulnerabilidade em sistemas bancários|operação organizada com funcionários internos e intermediários
439|usuários de telefonia móvel|golpes via SMS com links maliciosos (falsas dívidas, suspensão de CNH etc.)||apartamento na Avenida Paulista (SP) e redes de telefonia|dispositivos clandestinos que burlam sistemas de telecomunicações|disparo em massa de mensagens fraudulentas contendo vírus
440|vítimas de falsos consórcios (como o homem que pagou R$2.214)|golpe do falso consórcio de motocicletas, sem entrega do veículo ou devolução do valor||empresa na Avenida Paralela em Salvador|promessas fraudulentas de consórcios|contratos falsos sem cumprimento das obrigações
441|apostadores em plataformas de bets (incluindo vítimas de vício)|riscos financeiros e dependência em apostas online, prejuízos de até R$90 mil||plataformas de apostas online (bets)|publicidade agressiva e falta de regulamentação|estímulo ao vício e endividamento através de apostas recorrentes
442|usuários do PIX Automático (pessoas físicas e jurídicas)|riscos de fraudes e cobranças indevidas no PIX Automático||aplicativos bancários e plataformas de pagamento|vulnerabilidades em sistemas de pagamento recorrente|possível exploração de falhas para cobranças não autorizadas
443|usuários de telefonia móvel no Brasil|golpes por telefone (robocalls e spoofing de números)||chamadas telefônicas (4G/5G)|vulnerabilidade em sistemas de autenticação de chamadas|uso de números falsos para enganar vítimas e coletar dados
444|vítimas de golpes online (compradores de eletrônicos)|golpes com comprovantes falsos de PIX, prejuízo de R$90 mil||redes sociais e aplicativos de mensagens|uso da imagem de um delegado para ganhar confiança|envio de comprovantes falsos e falsas promessas de entrega
445||||||
446|ex-companheira da vítima|homicídio com facada no pescoço||residência no bairro do Zerão, Macapá|possível motivação passional|agressão com arma branca seguida de fuga
447|clientes da advogada Gabriela Cancian em Boituva (SP)|golpe do falso advogado com solicitação de pagamentos indevidos||aplicativos de mensagens e contas bancárias|uso indevido de identidade profissional|clonagem de dados da advogada para enganar clientes
448||||||
449|vítimas de golpes online (pessoas interessadas em CNH Social)|golpe de falsa inscrição para CNH Social com cobrança de PIX de R$58,71||sites falsos que imitam portais oficiais|exploração da demanda por serviços públicos|páginas fraudulentas que coletam dados e solicitam pagamentos indevidos
450|usuários de redes sociais|vídeos hiper-realistas gerados por IA (incluindo falsas entrevistas e conteúdos enganosos)||plataformas de redes sociais e ferramentas de IA como Veo 3|capacidade avançada de geração de conteúdo por IA|produção e disseminação de vídeos sintéticos que podem enganar o público
451|||||
452|moradores em Arapiraca, no Agreste de Alagoas; grupo de operadores de consórcios|estelionato com falsas promessas de financiamentos, mais de 50 vítimas com prejuízos financeiros|dezembro de 2024|empresas fictícias de consórcios|vulnerabilidade das vítimas em busca de crédito fácil|montavam empresas de fachada e atraíam consumidores com propostas vantajosas, mas não cumpriam o prometido
453|||||
454|público interessado nas rifas; Gladison Pieri e Pâmela Pavão|rifas virtuais ilegais com sorteio de casas, veículos e dinheiro, desvio de recursos destinados a filantropia|2024|redes sociais, perfil de laranja|vulnerabilidade do público em acreditar em sorteios promovidos por influenciadores|uso de perfil de laranja, falsa associação com empresa de capitalização, desvio de recursos (apenas 2,4% para filantropia ao invés dos 33,4% prometidos)
455|||||
456|vítima não identificada (homem detido e depois liberado); grupo criminoso não especificado|fraudes eletrônicas e estelionato em plataformas de venda online|operação ocorreu na manhã de segunda-feira (19)|plataformas de venda online|vulnerabilidade nas transações virtuais|golpe aplicado por intermediários em negociações digitais (técnica "Man in the Middle")
457|idosos em Belo Horizonte e outras localidades; organização criminosa com filiais no Rio de Janeiro e São Paulo|golpes de empréstimo consignado, prejuízo de R$200 mil em BH e R$38 milhões no país|desde 2020|empresas de empréstimos consignados, contato telefônico|vulnerabilidade financeira dos idosos e acesso a dados pessoais|ofereciam quitar dívidas em troca de pagamento adiantado, capturavam biometria/dados para contrair novos empréstimos em nome das vítimas
458|microempreendedores individuais (MEIs); sites fraudulentos não identificados|sites falsos cobrando taxas abusivas por serviços gratuitos de abertura de MEI, captura de dados sensíveis|últimos anos (sem data específica)|sites falsos que se passam por plataformas oficiais|falta de conhecimento dos empreendedores sobre o processo oficial|criação de páginas não seguras que imitam o Portal do Empreendedor, cobrança indevida por serviços gratuitos
459|vítimas (empresas e médicos como Ana Teresa Cerqueira); grupo criminoso não identificado|venda de atestados médicos falsos e testes de gravidez, fraude documental|últimos quatro anos (aumento significativo)|plataforma digital e aplicativo de mensagens|vulnerabilidade de verificação documental e pressão por atestados|divulgação em plataformas digitais, falsificação de assinaturas e carimbos médicos, intimidação a profissionais
460|||||
461|aniversariantes (vítimas); golpistas se passando por empresas ou entregadores|golpe do brinde/aniversário, cobrança de taxa de entrega para clonar cartões|não especificado (mas recente)|contato por mensagens ou falsos entregadores presenciais|vítimas em clima comemorativo e desprevenidas|falsos presentes com taxa de entrega, captura de dados do cartão durante "pagamento"
462|||||
463|||||
464|Conselho Nacional de Justiça (CNJ) como vítima institucional; Carla Zambelli e hacker Walter Delgatti Neto como autores|invasão ao sistema do CNJ com inserção de documentos falsos (incluindo mandado de prisão forjado)|data do crime não especificada (antes da condenação em 2023)|sistemas do Conselho Nacional de Justiça|vulnerabilidade nos sistemas do CNJ explorada|contratação de hacker para invadir sistemas e inserir documentos falsos
465|||||
466|idosos e desempregados (como a vítima de São Bernardo do Campo e o morador de Florianópolis); quadrilhas especializadas (como Joyce Melo e Denise Pinheiro)|golpe da biometria facial para contratar empréstimos consignados e financiar veículos (prejuízos de até R$170 mil)|2020 em diante (com aumento recente)|visitas domiciliares falsas (como agentes de saúde) e falsas entrevistas de emprego|vulnerabilidade de vítimas em busca de emprego/saúde e confiança em procedimentos aparentemente oficiais|coleta fraudulenta de biometria facial para assinar documentos digitais e contratar produtos financeiros em nome das vítimas
467|vítimas em todo o país; criminosos se passando por advogados|golpe do falso advogado com solicitação de PIX para liberação de valores judiciais|2024 (com aumento recente)|aplicativos de mensagens, redes sociais e e-mail|vítimas em situação financeira vulnerável buscando receber valores judiciais|uso de dados reais de processos e falsificação de identidade para solicitar transferências via PIX
468|vítimas de processos judiciais (como Nailde); criminosos se passando por advogados|golpe do falso advogado solicitando PIX para supostos impostos sobre valores judiciais|2024 (com pico em São Paulo)|redes sociais, aplicativos de mensagens e e-mails|vítimas em expectativa de recebimento de valores judiciais|uso de dados reais de processos e falsificação de identidade para solicitar transferências bancárias
469|||||
470|||||
471|||||
472|seguidores do influenciador digital (vítimas do esquema); influenciador digital e grupo criminoso|divulgação de jogos de azar (Roleta) com falsas promessas de lucro, lavagem de dinheiro|operação realizada em 3 de julho de 2024 (mas esquema ativo há tempo indeterminado)|redes sociais e plataformas digitais|vulnerabilidade de vítimas atraídas por promessas de ganhos fáceis|uso de influência digital para recrutar jogadores, ocultação de bens em nome de laranjas
473|aposentado Vanderlei Mandes de Albuquerque (vítima); criminosos se passando por advogados|golpe do falso advogado com perda de R$50 mil via transferência bancária|2024 (ano do registro da ocorrência)|contato por telefone/meios digitais (com uso de informações judiciais)|vítimas em processos judiciais esperando valores|uso de dados reais de processos + reconhecimento facial fraudulento para acessar contas
474|aposentados e pensionistas do INSS (incluindo casos como Iranete Cordeiro); associações criminosas|fraude bilionária com descontos não autorizados em benefícios previdenciários (R$6,3 bilhões desviados)|2019 a 2024|sistema de benefícios do INSS, com atuação de associações fraudulentas|vulnerabilidade de idosos com baixa escolaridade e acesso limitado à informação|descontos automáticos indevidos em benefícios sem autorização, oferta de serviços fantasmas
475|vítimas como o funcionário da limpeza da PCDF; Adélia Soares e grupo chinês associado|operação de jogos ilegais online com desvio de R$1.800 da vítima inicial|período não especificado (mas investigação em 2024)|sites de apostas ilegais e empresa Playflow|vulnerabilidade de apostadores e uso de dados falsos|empresa criada com documentação falsa, transferências via PIX para lavagem de dinheiro
476|||||
477|Ferramenta contra ligações de robôs já funciona em parte dos celulares                Golpes por telefone com números falsos e chamadas que desligam ao serem atendidas são práticas que atormentam milhões de brasileiros e que o sistema chamado Origem Verificada promete combater.        Desenvolvida por operadoras de telecomunicações em parceria com a Agência Nacional de Telecomunicações (Anatel)  a tecnologia de celulares ainda dá os primeiros passos no Brasil.       A ferramenta identifica quem está ligando e  em alguns casos  até o motivo da chamada mesmo quando o número não está salvo no celular.       Para os consumidores  o serviço é gratuito e não é preciso instalar nada no celular. Mas nem todos os aparelhos são compatíveis (veja abaixo).                  Como são as chamadas com o Origem Verificada. Foto: g1     Como são as chamadas com o Origem Verificada. Foto: g1        Cabe às empresas que pretendem fazer ligações  como bancos e call centers  pagarem para adotar o recurso. E o volume de adesões  por enquanto  é pequeno  segundo a entidade responsável pela implementação do sistema.      “Hoje  o uso é restrito porque poucas empresas contrataram o serviço e nem todos os celulares são compatíveis com ele”  explica Ildeu Borges  gerente da ABR Telecom. A informação também foi confirmada pela Anatel.       A ABR Telecom não revelou quais ou quantas empresas já aderiram ao sistema.       O g1 procurou bancos para saber sobre a adoção da ferramenta. Apenas o Bradesco respondeu  informando que já testa o sistema.            A Associação Brasileira de Telesserviços (ABT)  que reúne 21 empresas do setor  diz que todas as que fazem telemarketing ativo estão testando a ferramenta.       Das operadoras  cinquenta e duas já aderiram ao sistema  incluindo Vivo  Claro  Oi e Tim.      Por que o Não Me Perturbe é incapaz de conter robôs?     Quais celulares são compatíveis com o Origem Verificada      Para que o recurso funcione  o celular precisa estar conectado a uma rede 4G ou 5G.       Além disso  nem todos os aparelhos e sistemas operacionais conseguem suportar a tecnologia exigida pelo Origem Verificada (saiba mais abaixo).       E  mesmo quando suportam  as informações exibidas na tela das chamadas autenticadas (como nome da empresa  logo  número de telefone e selo de verificação) podem variar de acordo com o celular.       Segundo a ABR Telecom  estas são as marcas e versões compatíveis com o sistema  além do que cada uma exibe nas chamadas autenticadas:      Apple com iOS 18.2 ou superior disponível do iPhone 11 ao 16: exibe nome da empresa  número e logotipo.Samsung com Android 14 ou superior disponível nos modelos Galaxy S23 e S22  entre outros (veja lista completa ao fim da reportagem): exibe todos os dados nome  número  logotipo  selo de verificação  motivo da ligação e “número validado”. Outros aparelhos com Android 11 a 14 disponível nos modelos Motorola Razr 50 ou Motorola Edge 50 Neo  entre outros: mostram nome  número  selo e mensagem “número validado”.            A expectativa da Anatel é que 75% dos smartphones em uso no país estejam aptos a receber chamadas autenticadas até o fim do primeiro semestre de 2025.      Como funciona a Origem Verificada      O sistema usa o protocolo internacional STIR/SHAKEN  que checa em tempo real se o número exibido corresponde  de fato  à empresa que está ligando. A validação é feita por meio de um banco de dados centralizado pela ABR Telecom  abastecido pelas operadoras.       Quando a chamada começa  o sistema compara os dados da empresa com os registros da operadora. Se houver correspondência  a ligação é autenticada. Esse processo requer um nível tecnológico que  atualmente  não é suportado por todos os celulares.       O objetivo do sistema é combater fraudes como o spoofing  em que criminosos usam números falsos muitas vezes com prefixos como 0800 para se passar por empresas confiáveis e tentar enganar o consumidor.       Esse tipo de golpe geralmente envolve pedidos de dados sensíveis  como senhas ou códigos de segurança  alegando a necessidade de confirmar transações.       Em um dos casos  mostrado pelo Profissão Repórter  uma mulher perdeu R$ 7.800 após ligar para um call center falso  onde os criminosos coletaram seus dados sob o pretexto de cancelar uma suposta fraude.            👉Fique atento: nunca forneça senhas  códigos ou dados pessoais por telefone.       Outro problema que o Origem Verificada pretende combater são as robocalls chamadas automáticas que caem assim que você atende. Elas são usadas por golpistas para verificar se um número está ativo antes de novas tentativas de fraude.       Uma reportagem do Fantástico investigou empresas que fornecem programas para ligações automáticas e mostrou como funciona esse mercado (reveja abaixo).                               23 mil ligações por segundo: o Fantástico investiga como funcionam os robôs programados para tirar você do sério        E se a ligação não tiver identificação?      Nem toda ligação sem identificação é golpe. Isso porque  por enquanto  o uso do Origem Verificada é voluntário tanto para operadoras quanto para empresas. Ou seja  chamadas com e sem autenticação ainda vão coexistir por algum tempo.            Mas  até outubro de 2028  todas as operadoras serão obrigadas a autenticar as chamadas feitas de telefones fixos e celulares. É o que estabelece a Resolução nº 777 da Anatel. Esse sistema é diferente do Origem Verificada  mas complementa a estratégia contra fraudes.       A obrigatoriedade  no entanto  será apenas para garantir que o número exibido realmente pertence a quem está ligando. Já a exibição de dados adicionais como nome  logo e motivo da ligação continuará sendo opcional e só estará disponível para empresas que aderirem ao Origem Verificada.       Abaixo  veja a relação de aparelhos Samsung compatíveis com o sistema  desde que estejam atualizados com o Android 14 ou superior:       Galaxy M      Galaxy M23 5GGalaxy M53 5GGalaxy M14 5GGalaxy M34 5GGalaxy M54 5GGalaxy M15 5GGalaxy M35 5GGalaxy M55 5G      Galaxy A      Galaxy A13Galaxy A23Galaxy A23 5GGalaxy A33 5GGalaxy A53 5GGalaxy A73 5GGalaxy A14 5GGalaxy A24 5GGalaxy A34 5GGalaxy A54 5GGalaxy A05Galaxy A05sGalaxy A15 5GGalaxy A25 5GGalaxy A35 5GGalaxy A55 5GGalaxy A06Galaxy A06 5GGalaxy A16 5GGalaxy A26 5GGalaxy A36 5GGalaxy A56 5G           Galaxy S      Galaxy S21Galaxy S21+Galaxy S21 UltraGalaxy S21 FEGalaxy S22 Galaxy S22+ Galaxy S22 UltraGalaxy S23Galaxy S23+Galaxy S23 UltraGalaxy S23 FEGalaxy S24Galaxy S24+Galaxy S24 UltraGalaxy S24 FEGalaxy S25Galaxy S25+Galaxy S25 UltraGalaxy S25 Edge      Galaxy Z      Galaxy Z Flip3Galaxy Z Fold3Galaxy Z Flip4Galaxy Z Fold4Galaxy Z Flip5Galaxy Z Fold5Galaxy Z Flip6Galaxy Z Fold6            Bilhões de robocalls são feitas todo mês no Brasil: são aquelas chamadas que desligam logo que alguém atende Foto: globo     Bilhões de robocalls são feitas todo mês no Brasil: são aquelas chamadas que desligam logo que alguém atende Foto: globo        Veja mais:                               Não Me Perturbe não funciona? Por que pessoas recebem ligações de telemarketing                                       Como proteger os dados do seu celular antes de viajar para outro país|N|OUTROS CIBERCRIME
478|||||
479|||||
480|pacientes idosos de Avaré (SP); dentista investigado (não identificado)|golpe de múltiplos contratos de financiamento odontológico via assinatura digital (R$278.449,65 em 51 contratos)|operações ocorreram até 17/05/2024 (data da operação policial)|consultório odontológico, com uso de sistemas digitais|vítimas idosas com baixa familiaridade tecnológica|repetição de assinaturas digitais sob pretexto de falhas no sistema
481|banco digital (vítima institucional); comerciante de 33 anos e quadrilha organizada|tentativa de golpe de R$400 mil via abertura fraudulenta de contas e empréstimos|operação policial em 11/05/2024|banco digital, grupo em aplicativo de mensagens|vulnerabilidade em sistemas de abertura de contas|uso de documentos falsos, comercialização de dados em grupo criminoso online
482|||||
483|||||
484|||||
485|||||
486|médicas Raquel Franchim e Ana Merten (vítimas); golpistas usando identidade de Roberval Ciszewski|fraude na venda de canetas emagrecedoras usando identidade médica falsa|descoberta em junho de 2024|sites falsos e WhatsApp|vulnerabilidade de compradores buscando tratamentos de emagrecimento|uso não autorizado de dados profissionais (CRM, fotos) e falsificação de consultas médicas
487|vítimas em geral na região de Campinas; criminosos não identificados|aumento de 8% em crimes cibernéticos (fraudes por WhatsApp, phishing, falsos investimentos etc.)|comparativo 2023-2024|redes sociais, aplicativos de mensagem (WhatsApp), sites falsos|vulnerabilidade de usuários desprevenidos|técnicas como falsas centrais bancárias, ofertas fraudulentas e engenharia social
489|Tribunal Regional do Trabalho (TRT RJ) como vítima institucional; criminosos não identificados|fraude com certificados digitais para emitir alvarás judiciais (prejuízo estimado em R$4 milhões)|descoberta em 11/05/2024|sistema de alvarás eletrônicos da Justiça do Trabalho|vulnerabilidade em sistema de certificação digital|uso fraudulento de 17 certificados digitais de magistrados e servidores
490|||||
491|vítimas como Fábio da Silva Pereira e Renata Gonçalves; golpistas não identificados|aumento de 20% em tentativas de golpes digitais (fraudes em leilões online, falsos pedidos de PIX)|segundo trimestre de 2022 (comparado ao mesmo período em 2021)|sites falsos, mensagens por celular, e-mails fraudulentos|vulnerabilidade de usuários em transações digitais|engenharia social e criação de plataformas fraudulentas
492|comerciantes de Angra dos Reis (RJ); homem de 31 anos preso|golpe do comprovante falso de PIX em estabelecimentos comerciais|operação policial em 31/08/2024 (com divulgação em 02/09)|comércios locais e locais públicos de entrega|vulnerabilidade na verificação instantânea de transações|uso de aplicativo para gerar comprovantes fraudulentos de PIX
493|apostadores brasileiros; Secretaria de Prêmios e Apostas do Ministério da Fazenda|suspensão de 7 operadoras de apostas por descumprimento de normas de segurança|30/08/2024|sites de apostas esportivas|falta de relatórios obrigatórios de segurança|operação sem documentação regulatória exigida
494|||||
495|empresas contribuintes (496 vítimas); organização criminosa liderada por Robson Gimenes|fraude tributária com créditos fictícios (R$451 milhões desviados)|operações em 24/05/2024|sistema tributário federal e fintech Shield Bank|vulnerabilidade no sistema de compensação tributária|uso de laranjas e documentos falsos para fraudar declarações
496|||||
497|vítima (profissional médica real não identificada); mulher presa em Jequié (BA)|falsidade ideológica e exercício irregular da medicina|13/06/2023 (data da abordagem)|BR-116 em Jequié (BA), com uso de documentos digitais falsos|vulnerabilidade de sistemas de verificação profissional|apresentação de CRM falso e documentos digitais adulterados
498|empresas concorrentes e mercado publicitário digital; Departamento de Justiça dos EUA|monopólio ilegal em plataformas de publicidade digital (AdX e DFP)|decisão judicial em abril/2024 (com proposta de sanção em 05/06)|mercado de publicidade digital (EUA e global)|concentração de mercado e práticas anticompetitivas|domínio de tecnologias de leilão e servidores de anúncios
499|lotérica de Aracaju (vítima); 9 pessoas indiciadas (associação criminosa)|fraude cibernética via perfis falsos (prejuízo de R$90 mil)|período não especificado (inquérito concluído em 16/06)|aplicativo de mensagens e boletos bancários|vulnerabilidade na verificação de identidade digital|uso de contas laranjas e engenharia social para autorizar pagamentos
500|assistidos da Defensoria Pública (como Andréia Regina); criminosos não identificados|golpe do falso defensor público com solicitação de adiantamento para supostas indenizações|casos recentes em 2024|aplicativos de mensagens e processos judiciais digitais|vulnerabilidade de pessoas em situação financeira frágil|uso de dados públicos de processos e falsificação de identidade profissional
501|||||
502|vítimas em 20 estados brasileiros; grupo criminoso com 50 investigados|aplicação de 5 tipos de golpes digitais (160 crimes identificados)|operações em 23/05/2023 (2ª fase)|meios digitais em múltiplos estados|vulnerabilidade das vítimas em transações online|uso de técnicas como falsos boletos, perfis falsos e extorsão com nudes
503|vítimas em Vitória da Conquista (BA); 8 pessoas presas (quadrilha especializada)|golpe do falso consórcio de imóveis/veículos (20 BOs registrados)|operações em 27/06/2024|salas comerciais e internet|vítimas em busca de oportunidades de crédito|divulgação de falsas cartas de crédito contempladas
504|consumidores brasileiros; empresas de telemarketing e quadrilhas especializadas|fraudes via robocalls (20 bilhões de ligações/mês, incluindo golpes bancários)|dados atualizados até 2023|redes de telecomunicações e números falsos|vulnerabilidade na verificação de chamadas|clonagem de DDD, venda ilegal de dados e engenharia social
505|Rayene Carla Reis Lima, Ryan Carlos Reis Lima, Sarah Santos Borges|golpe de falsa garota de programa, extorsão de 30+ vítimas|28 (sexta-feira)|internet, redes sociais, aplicativos de mensagem|explorou desejo por serviços sexuais e medo de exposição|falsa garota de programa atraía vítimas, coletava dados e fotos íntimas, depois extorquia se passando por miliciano
506|idosos de Barra Mansa|golpe do Vale Gás, roubo de dados e dinheiro|29 (quinta-feira)|abordagem em casas, falsos cartões de visita|explorou confiança em assistência social e pressa no atendimento|golpistas se passavam por funcionários do Cras, usavam falsos cartões e coletavam documentos para roubo
507|clientes do corretor de imóveis|golpes na venda de imóveis, venda duplicada|30 (sexta-feira)|redes sociais, negociações imobiliárias|explorou confiança no profissional e falta de verificação de documentos|corretor vendia o mesmo imóvel para vários clientes sem concluir a compra
508|clientes da Autibank|pirâmide financeira, estelionato, prejuízos de até R$ 100 milhões|5 de abril|banco digital Autibank, abordagens em shoppings e residências|explorou confiança e promessa de altos rendimentos|vítimas eram convencidas a fazer empréstimos para investir em esquema de pirâmide com falsos retornos financeiros
509|||||||
510|||||||
511|||||||
512|||||||
513|||||||
514|idosos em bancos do RJ e outros estados|golpes em caixas eletrônicos, roubo de R$600 mil|27 (sábado) e 30 (terça-feira)|agências bancárias (caixas eletrônicos)|explorou dificuldades dos idosos com tecnologia bancária|distraíam vítimas, acessavam contas e faziam transferências/saques sem autorização
515|||||||
516|||||||
517|||||||
518|clientes de advogados no Acre|golpe do falso advogado, extorsão de R$300 a R$2 mil por vítima|2024 (principalmente set/2023 a mar/2024)|mensagens por WhatsApp e outros meios digitais|explorou expectativa por recebimentos judiciais e confiança em advogados|golpistas se passavam por advogados reais, solicitavam pagamentos para liberar supostos valores judiciais
519|||||||
520|empresas de Salto e Sorocaba (SP)|golpes envolvendo transações por PIX|9 (quinta-feira)|bancos digitais, sistema PIX|explorou vulnerabilidades no sistema de transações financeiras|dobravam valores subtraídos manipulando operações no PIX
521|||||||
522|||||||
523|Antônio Rabelo, servidor público|golpe do PIX, prejuízo de R$1 mil|23 de março (domingo)|proposta falsa de trabalho como modelo via WhatsApp|explorou expectativa de emprego e empolgação com alta remuneração|criminoso se passou por agência de modelos, solicitou pagamento antecipado para produção de material fotográfico
524|||||||
525|seguidores de Virginia Fonseca|golpe de PIX prometendo R$1 mil|desde 18/03/2025|redes sociais (Facebook, Instagram, WhatsApp)|explorou credibilidade da influenciadora e desejo por ganhos fáceis|usou vídeo manipulado com IA para simular anúncio, direcionando para site falso que coleta dados e cobra taxa de R$39,90
526|idosos em São Luís|golpes de empréstimos consignados, prejuízos de até R$60 mil|janeiro de 2025|abordagem pessoal se passando por funcionários do CRAS|explorou confiança em assistência social e dificuldade dos idosos com burocracia financeira|criminosos coletavam dados pessoais para abrir contas e fazer empréstimos em nome das vítimas
527|||||||
528|vítimas de fraudes eletrônicas|fraudes financeiras usando contas bancárias de terceiros|24 (quinta-feira)|contas bancárias aliciadas, internet|explorou vulnerabilidade de pessoas que vendem contas bancárias|organização criminosa com divisão de funções: gestão de dinheiro, captação de contas e fornecimento de dados bancários
529|||||||
530|Prefeitura de Pirassununga (SP)|golpe financeiro, transferência fraudulenta de R$2,181 milhões|12 de fevereiro|e-mail com falsa alteração bancária|explorou falhas na verificação de autenticidade de comunicações digitais|criminosos enviaram e-mail falsificando empresa de vale-alimentação para desviar recursos públicos
531|||||||
532|||||||
